PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,RD,,E5COMDSL,,,2039,All,,,,,1
