PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCCON,ECU,IMP_ELE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SOIALL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,FORBUR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPARR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPBAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCOC,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCOF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPSUG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPMAI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPSOY,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPPAF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPPAL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPLEG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCER,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPTUB,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPFRT,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPVEG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPFLO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPBOV,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPBUF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPOVE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCBR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCAM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPCAB,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPMUL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPPOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,IMPAVE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPASCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTICRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROAND,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAAND,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEAND,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMANDCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMONCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCEJCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCHOCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMORCRO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPLUPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPIEPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMAMAPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMANPAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMANDGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMONGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCEJGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCHOGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMORGRA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPLUHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPIEHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMAMAHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMANHUM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMANDASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMONASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCEJASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCHOASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMORASE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPLUOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPIEOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMAMAOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMANOTI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMANDPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMONPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCEJPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCHOPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMMORPFO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROPLU,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAPLU,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEPLU,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPFOMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPASMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROPIE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAPIE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEPIE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPFOCEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPASCEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMCEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTICEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROAMA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAAMA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEAMA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPFOCHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPASCHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMCHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTICHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMCROMAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMGRAMAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMASEMAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPFOMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMPASMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMHUMMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,SUPCAMOTIMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_FOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_WET,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_CROP,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_PAS,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_SET,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_OTL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRAND,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNAND,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRPLU,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNPLU,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNMON,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRPIE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNPIE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRCEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNCEJ,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRAMA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNAMA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRCHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNCHO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRMAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNMAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NPRMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_NUNMOR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_RAR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,LU_PLA,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_ARR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_BAN,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_COC,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_COF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_SUG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_MAI,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_PAF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_SOY,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_PAL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_LEG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_CER,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_TUB,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_FRT,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_VEG,,,,,,,,,,1
OperationalLife,NDCCON,ECU,AG_FLO,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_BOV,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_BOVLEC,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_BUF,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_OVE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_CBR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_CAM,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_CAB,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_MUL,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_POR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,GA_AVE,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5ELEAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5ARRAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5BANAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5COCAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5COFAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5SUGAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5MAIAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5PAFAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5SOYAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5PALAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5LEGAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5CERAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5TUBAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5FRTAGR,,,,,,,,,,1
OperationalLife,NDCCON,ECU,T5VEGAGR,,,,,,,,,,1
